A;Most of the time reciprocating, with to-the-next-person variation;Most of the time to the next person, with reciprocating variation;Randomly;Reciprocating;To the less;Being fair;Bias;Fair-reciprocation;To the next person;Bias-reciprocation;Unclear;Missing;Random-reciprocation;Fair-random
Being fair;1;0;1;8;0;26;7;0;0;1;0;1;0;0
Bias;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Bias-reciprocation;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Fair-random;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Fair-reciprocation;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Most of the time reciprocating, with to-the-next-person variation;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Most of the time to the next person, with reciprocating variation;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Random-reciprocation;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Randomly;0;0;15;6;2;5;8;1;3;0;0;0;0;0
Reciprocating;0;0;0;9;0;1;1;0;1;0;0;0;0;0
To the less;0;0;0;2;0;0;0;0;0;0;0;0;0;0
To the next person;0;1;1;13;0;1;5;0;24;1;0;0;0;0
Unclear;0;0;0;0;0;0;0;0;0;0;3;0;0;0
